Tempo total; Inicialização; Finalização; Processamento
70,318000;0,016000;0,015000;70,287000
93,894000;0,031000;0,015000;93,848000
71,954000;0,027000;0,016000;71,911000
79,894000;0,016000;0,015000;79,863000

82,389000;0,023000;0,016000;82,350000
79,693000;0,023000;0,016000;79,654000
82,883000;0,027000;0,019000;82,837000
91,754000;0,015000;0,017000;91,722000

35,410000;0,012000;0,000000;35,398000
34,707000;0,015000;0,000000;34,692000
40,866000;0,015000;0,000000;40,851000
41,372000;0,020000;0,016000;41,336000

25,443000;0,038000;0,010000;25,395000
23,713000;0,031000;0,018000;23,664000
23,710000;0,031000;0,016000;23,663000
22,929000;0,022000;0,016000;22,891000

21,744000;0,040000;0,015000;21,689000
21,057000;0,029000;0,015000;21,013000
23,178000;0,018000;0,000000;23,160000
23,518000;0,025000;0,000000;23,493000
